hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
아르반 호텔,부산 부산진구 중앙대로691번길 32,101,부산,국내,미등급,94.0,100개 미만,숙박업 기타,분류,35.154689032514,129.05724278339
솔라리아 니시테츠 부산,부산 부산진구 서면로 20,102,부산,국내,미등급,203.0,200개 이상,일반호텔,분류,35.1523224768625,129.058176948963
부산 비즈니스 호텔,부산 부산진구 부전로 67,104,부산,국내,3성,233.0,200개 이상,관광호텔업,분류,35.1561122699992,129.054528292776
스탠포드 인 부산,부산 중구 구덕로 53,105,부산,국내,3성,132.0,200개 미만,관광호텔업,분류,35.0978234452324,129.029942306445
크라운 하버호텔 부산,부산 중구 중앙대로 114,106,부산,국내,미등급,500.0,200개 이상,일반호텔,분류,35.1075544656556,129.036819610921
라마다 앙코르 바이 윈덤 부산역,부산 동구 초량동 중앙대로196번길 10,107,부산,국내,미등급,446.0,200개 이상,일반호텔,분류,35.1142584822657,129.04033270974
센텀 프리미어 호텔,부산 해운대구 센텀1로 17,108,부산,국내,미등급,462.0,200개 이상,일반호텔,분류,35.1669376382204,129.131595073229
베니키아 호텔 해운대,부산 해운대구 해운대해변로 317,112,부산,국내,3성,166.0,200개 미만,관광호텔업,분류,35.1622634178643,129.164814793738
마리안느호텔,부산 해운대구 해운대해변로 310,114,부산,국내,3성,127.0,200개 미만,관광호텔업,분류,35.16143991876719,129.16461519700997
베스트웨스턴 해운대 호텔,부산 해운대구 구남로 42,115,부산,국내,미등급,134.0,200개 미만,일반호텔,분류,35.1604350607438,129.161179100749
페어필드 바이 메리어트 부산,부산 해운대구 해운대해변로 314,117,부산,국내,3성,225.0,200개 이상,관광호텔업,분류,35.1616481346247,129.16485927535
이비스 버젯 앰배서더 부산 해운대,부산 해운대구 해운대해변로209번길 8,119,부산,국내,2성,178.0,200개 미만,관광호텔업,분류,35.159078472916,129.154488868817
이비스 앰배서더 부산 해운대,부산 해운대구 해운대해변로237번길 12,120,부산,국내,미등급,237.0,200개 이상,관광호텔,분류,35.1599218718628,129.157959627703
라발스 호텔 부산,부산 영도구 봉래나루로 82,121,부산,국내,미등급,380.0,200개 이상,일반호텔,분류,35.0945243975235,129.039155954899
펠릭스 바이 STX 호텔 & 스위트,부산 해운대구 해운대로 620,122,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1629774462048,129.15849160065
신라스테이 해운대,부산 해운대구 해운대로570번길 46,123,부산,국내,4성,407.0,200개 이상,관광호텔업,분류,35.1598034054018,129.158736352809
코오롱 씨클라우드 호텔,부산 해운대구 해운대해변로 287,124,부산,국내,미등급,208.0,200개 이상,숙박업(생활),분류,35.1604174298802,129.16222733657
아바니 센트럴 부산,부산 남구 전포대로 133,139,부산,국내,4성,281.0,200개 이상,관광호텔업,분류,35.1482777453333,129.065437098387
롯데 호텔 서울,서울 중구 을지로 30,140,서울,국내,5성,1015.0,200개 이상,관광호텔업,분류,37.5648098108631,126.981089534575
그랜드 하얏트 서울,서울 용산구 소월로 322,141,서울,국내,5성,615.0,200개 이상,관광호텔업,분류,37.5397629769285,126.996240829219
웨스틴 조선호텔 서울,서울 중구 소공로 106,142,서울,국내,5성,462.0,200개 이상,관광호텔업,분류,37.5644389782816,126.980099468802
더 플라자 서울 오토그래프 컬렉션,서울 중구 소공로 119,143,서울,국내,5성,410.0,200개 이상,관광호텔업,분류,37.5646711366935,126.977913420541
포시즌스 호텔 서울,서울 종로구 새문안로 97,147,서울,국내,5성,317.0,200개 이상,관광호텔업,분류,37.5707662406581,126.975420617907
서울신라호텔,서울 중구 동호로 249,150,서울,국내,5성,464.0,200개 이상,관광호텔업,분류,37.5567184328214,127.005728706384
밀레니엄 힐튼 서울,서울 중구 소월로 50,153,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.555326869140345,126.9754866901112
호텔 농심,부산 동래구 금강공원로20번길 23,170,부산,국내,5성,240.0,200개 이상,관광호텔업,분류,35.2199300615091,129.082142815029
롯데 호텔 부산,부산 부산진구 가야대로 772,171,부산,국내,5성,650.0,200개 이상,관광호텔업,분류,35.156642373039,129.056002226069
히든 클리프 호텔 앤 네이처,제주특별자치도 서귀포시 상예동 625,189,제주,국내,5성,250.0,200개 이상,관광호텔_제주,분류,33.2543646,126.4031521
스위트 호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67,190,제주,국내,미등급,90.0,100개 미만,관광호텔,분류,33.2490448197189,126.408428634179
제주 신라 호텔,제주특별자치도 서귀포시 중문관광로72번길 75,191,제주,국내,미등급,429.0,200개 이상,관광호텔,분류,33.2471639473767,126.407955114741
롯데호텔 제주,제주특별자치도 제주시 도령로 83,192,제주,국내,5성,500.0,200개 이상,관광호텔_제주,분류,33.4906945837847,126.486477218467
제주 씨에스 호텔 앤 리조트,제주특별자치도 서귀포시 중문관광로 198,193,제주,국내,미등급,30.0,100개 미만,관광호텔,분류,33.2425262560668,126.420878089828
제주 부영호텔 리조트,제주특별자치도 서귀포시 중문관광로 216,194,제주,국내,5성,187.0,200개 미만,관광호텔_제주,분류,33.2421273538009,126.42226882473
WE 호텔 제주,제주특별자치도 서귀포시 1100로 453-95,195,제주,국내,5성,71.0,100개 미만,관광호텔_제주,분류,33.2861974015548,126.444080619289
그랜드 조선 제주,제주특별자치도 서귀포시 중문관광로72번길 60,196,제주,국내,미등급,248.0,200개 이상,관광호텔,분류,33.25235805009302,126.40800175200576
서귀포 칼 호텔,제주특별자치도 서귀포시 칠십리로 242,197,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.24648461203475,126.58176182117477
여수 호텔 jcs,전남 여수시 돌산읍 돌산로 3169-14,198,전라,국내,미등급,151.0,200개 미만,관광호텔,분류,34.7038003806027,127.757605805693
소노캄 여수,전남 여수시 오동도로 111,199,전라,국내,5성,311.0,200개 이상,관광호텔업,분류,34.7422890110514,127.75428291237
히든베이 호텔,전남 여수시 신월로 496-25,200,전라,국내,4성,131.0,200개 미만,관광호텔업,분류,34.7215224276055,127.699639500815
여수 유탑 마리나 호텔 리조트,전남 여수시 오동도로 61-15,201,전라,국내,미등급,399.0,200개 이상,숙박업(생활),분류,34.7442830320685,127.750584045466
여수 베네치아 호텔&리조트,전남 여수시 오동도로 61-13,202,전라,국내,미등급,343.0,200개 이상,숙박업(생활),분류,34.7457868621103,127.751762191906
여수 라마다프라자 호텔,전남 여수시 돌산읍 강남로 11,203,전라,국내,미등급,427.0,200개 이상,숙박업(생활),분류,34.7169604476228,127.7483579029
호텔 토마스 명동,서울 중구 세종대로16길 26,205,서울,국내,3성,123.0,200개 미만,관광호텔업,분류,37.5631081,126.9783441
트레블로지 명동 시티홀 호텔,서울 중구 세종대로16길 22,206,서울,국내,3성,129.0,200개 미만,관광호텔업,분류,37.5630741514274,126.978078349656
staz 스타즈 호텔 명동 1호점,서울 중구 충무로9길 20,207,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.56698798355915,126.9911937544634
호텔 미드시티 명동,서울 중구 다동길 30,208,서울,국내,3성,140.0,200개 미만,관광호텔업,분류,37.5676431498128,126.980945743871
나인트리 호텔 명동,서울 중구 명동10길 51,209,서울,국내,3성,144.0,200개 미만,관광호텔업,분류,37.5615886250724,126.986025451697
호텔 그레이스리 서울,서울 중구 세종대로12길 12,210,서울,국내,3성,336.0,200개 이상,관광호텔업,분류,37.5615970265873,126.976968686944
뉴국제 호텔,서울 중구 세종대로22길 12,211,서울,국내,3성,142.0,200개 미만,관광호텔업,분류,37.5679432954487,126.977976068462
호텔다움,울산 중구 번영로 538,212,경상,국내,2성,68.0,100개 미만,관광호텔업,분류,35.5669580842612,129.341524100378
롯데호텔 울산,울산 남구 삼산로 282,213,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.53879169257699,129.33804929090147
울산 시티 호텔,울산 남구 삼산로 246,214,경상,국내,미등급,90.0,100개 미만,관광호텔,분류,35.5382894852821,129.334127904739
해야관광호텔,울산 남구 삼산로395번길 11,215,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.5406889502952,129.351015308485
롯데시티호텔 울산,울산 남구 삼산로 204,216,경상,국내,3성,349.0,200개 이상,관광호텔업,분류,35.5375358147425,129.329616011079
신라스테이 울산,울산광역시 남구 삼산로 200,217,경상,국내,3성,335.0,200개 이상,관광호텔업,분류,35.5374199,129.3291229
판도라 호텔,울산 남구 삼산로392번길 8,218,경상,국내,2성,70.0,100개 미만,관광호텔업,분류,35.5389014805603,129.349663821527
H호텔,울산 남구 화합로178번길 7,219,경상,국내,1성,44.0,100개 미만,관광호텔업,분류,35.540671512542,129.340266851454
여우비 관광호텔,울산 남구 산업로647번길 14,221,경상,국내,2성,105.0,200개 미만,관광호텔업,분류,35.5392895117956,129.349407699073
브라운도트 신천점,울산 북구 매산5로 14,222,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.63622896888259,129.35362028559385
토요코인 울산삼산동,울산 남구 삼산로 308,223,경상,국내,2성,283.0,200개 이상,관광호텔업,분류,35.5396167758738,129.340719496915
에쉬튼(ASHTON) 호텔,울산 남구 중앙로213번길 8,224,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.53986322879435,129.3110819651066
주식회사 라한호텔(울산),울산 동구 방어진순환도로 871,225,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.5192899372501,129.430051196384
E호텔,울산 북구 강동산하2로 7,226,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.6262831718146,129.441010411903
블루오션뷰,울산 울주군 서생면 진하해변길 74,227,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.3842843401401,129.34592331383894
그랜드플라자청주호텔,충북 청주시 청원구 충청대로 114,228,충청,국내,5성,328.0,200개 이상,관광호텔업,분류,36.666717686617,127.495037086758
호텔나무,인천 미추홀구 경인로435번길 7-8,229,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.458618262343975,126.68838759516686
뉴베라관광호텔,충북 청주시 흥덕구 풍년로193번길 32,230,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.6279645081852,127.43016108601
마크관광호텔,충북 청주시 흥덕구 가로수로1164번길 41-34,231,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.62563783306088,127.42864782461923
세종스파텔,충북 청주시 청원구 내수읍 신기초정로 699,232,충청,국내,1성,60.0,100개 미만,관광호텔업,분류,36.7190393946979,127.598639518461
관광호텔 뮤제오,충북 청주시 흥덕구 가로수로1164번길 41-20,233,충청,국내,3성,59.0,100개 미만,관광호텔업,분류,36.6254131951132,127.428067355893
수안보 상록호텔,충북 충주시 수안보면 주정산로 22,234,충청,국내,3성,101.0,200개 미만,관광호텔업,분류,36.84784873144494,127.9890484251124
수안보 파크관광호텔,충북 충주시 수안보면 탑골1길 36,235,충청,국내,2성,111.0,200개 미만,관광호텔업,분류,36.8445362715069,127.9806903902498
THE조선호텔 수안보,충북 충주시 수안보면 조산공원길 99,236,충청,국내,2성,103.0,200개 미만,관광호텔업,분류,36.845686441754,127.993984975238
리버호텔,"충청북도 충주시 애향로 35, 봉방동, 충주",237,충청,국내,2성,65.0,100개 미만,관광호텔업,분류,36.974274,127.9140947
호텔 더 베이스(후렌드리호텔),제주특별자치도 제주시 사장3길 33,238,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.48274960186887,126.49124961164816
청풍레이크호텔,충북 제천시 청풍면 청풍호로 1798,239,충청,국내,3성,180.0,200개 미만,관광호텔업,분류,37.01687847453753,128.1771166084704
레이크힐스호텔속리산,충북 보은군 속리산면 법주사로 305,240,충청,국내,2성,132.0,200개 미만,관광호텔업,분류,36.5345633448644,127.8255500015506
거성호텔,충북 음성군 맹동면 장성로 107,241,충청,국내,3성,65.0,100개 미만,관광호텔업,분류,36.9051751364059,127.545743442611
단양관광호텔,충북 단양군 단양읍 삼봉로 31,242,충청,국내,3성,77.0,100개 미만,관광호텔업,분류,36.9820016191617,128.348517779925
부산 다이아몬드호텔,부산 연제구 월드컵대로164번길 26,243,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.187706156094,129.079336365169
시애틀비호텔,부산 연제구 거제천로154번길 42,244,부산,국내,2성,55.0,100개 미만,관광호텔업,분류,35.1863005474574,129.078905378187
아르반시티 호텔,부산 연제구 반송로 20,245,부산,국내,3성,137.0,200개 미만,관광호텔업,분류,35.1869695202154,129.083279924096
더킹호텔,부산 연제구 과정로 161,246,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1858991533907,129.10686715265305
호텔아쿠아펠리스,부산 수영구 광안해변로 225,247,부산,국내,3성,111.0,200개 미만,관광호텔업,분류,35.1540793784093,129.118805964445
유토피아관광호텔,부산 수영구 무학로9번길 133,248,부산,국내,2성,43.0,100개 미만,관광호텔업,분류,35.1674282548968,129.117097946689
돈비치관광호텔,부산 수영구 광남로 96,249,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15035129455993,129.1151467044745
호메르스 호텔,부산 수영구 광안해변로 217,250,부산,국내,3성,143.0,200개 미만,관광호텔업,분류,35.1534266,129.1179962
프리미엄 브이관광호텔,부산 수영구 남천바다로33번길 51,251,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1506603292259,129.115408156793
스타호텔,전북 부안군 변산면 채석강길 33,253,전라,국내,미등급,미분류,200개 이상,미분류,미분류,35.62727656777811,126.4699373643378
H-AVENUE 광안리점,부산 수영구 민락수변로 29,254,부산,국내,미등급,30.0,100개 미만,관광호텔,분류,35.1532343346657,129.12465640262192
호텔런더너 광안점,부산 수영구 민락본동로 12-4,255,부산,국내,2성,45.0,100개 미만,관광호텔업,분류,35.1576502102436,129.128747823893
호텔1,부산 수영구 광안해변로 203,256,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.152500377292,129.117373739145
베스트 루이스 해밀턴 호텔 광안점,부산 수영구 광안해변로 276,257,부산,국내,2성,50.0,100개 미만,관광호텔업,분류,35.1556140779393,129.123999595363
더포인트호텔 광안리점,부산 수영구 광안해변로278번길 42,258,부산,국내,2성,45.0,100개 미만,관광호텔업,분류,35.15396298549015,129.1245239353941
호텔 센트럴베이,부산 수영구 광안해변로 189,259,부산,국내,3성,134.0,200개 미만,관광호텔업,분류,35.1514913755992,129.116491110591
브라운도트호텔 수영점,부산 수영구 광안해변로278번길 42,260,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15396298549015,129.1245239353941
오션투헤븐,부산 수영구 광안해변로278번길 42,261,부산,국내,2성,26.0,100개 미만,관광호텔업,분류,35.15396298549015,129.1245239353941
제이스테이,서울 송파구 충민로 81-9,262,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.4799868755823,127.126115532751
벡스코호스텔,부산 수영구 광안해변로284번길 43,263,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.154029295980216,129.1255724234227
호텔미라주,부산 수영구 남천바다로33번길 15,264,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1491940552423,129.114330071994
피코블루,부산 수영구 광안해변로 247-1,265,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1550975736315,129.120974210235
오션스테이호텔,부산 수영구 광안해변로278번길 42,266,부산,국내,미등급,14.0,100개 미만,숙박업(생활),분류,35.1539704411162,129.124515022228
라움103,부산 수영구 민락수변로 103,267,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1546584044725,129.131821138688
호텔 G&G,제주특별자치도 제주시 남성로 117,268,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50901154641355,126.5179551481986
베이하운드호텔,부산 영도구 태종로65번길 11,269,부산,국내,2성,69.0,100개 미만,관광호텔업,분류,35.093129234996425,129.03844130604432
